day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
08,16,29,19.348,25,-5.29,-5.96,-6.05,4.89,069,6581
08,16,31,32.746,23,4.58,5.43,5.90,3.53,073,4683
08,16,31,36.550,8,4.50,3.06,2.34,10.58,065,3836
08,16,31,37.350,15,6.00,6.06,5.76,3.28,073,4805
08,16,31,40.351,18,-1.67,-1.22,-0.83,3.83,073,2801
08,16,31,40.746,8,2.44,2.00,1.78,7.83,071,3092
08,16,31,42.080,36,-1.69,-1.63,-1.55,1.40,074,3297
08,16,31,44.082,22,-1.54,-1.57,-1.58,1.53,069,2251
08,16,35,55.548,28,-1.17,-1.24,-1.26,1.10,071,1779
08,16,35,56.484,16,-0.94,-1.34,-1.59,1.22,072,1656
08,16,37,20.282,26,-5.06,-5.40,-5.32,3.15,066,3385
08,16,37,30.283,11,9.00,6.10,3.95,9.59,069,4549
08,16,37,30.484,10,6.60,6.80,6.75,3.44,069,4816
08,16,38,33.356,32,2.05,2.05,1.90,1.74,096,4100
08,16,38,44.552,50,-1.65,-1.87,-2.00,1.45,079,2634
08,16,38,46.131,24,-2.14,-1.97,-1.72,2.05,083,2285
08,16,40,23.017,8,4.50,2.75,1.88,17.79,068,4717
08,16,40,23.415,12,6.31,6.42,6.94,3.82,074,4896
08,16,42,46.286,20,-7.28,-7.55,-7.50,3.45,067,3952
08,16,43,51.218,18,5.97,6.33,6.92,8.03,070,4555
08,16,45,18.019,24,-6.27,-5.90,-5.41,2.17,067,3270
08,16,46,25.956,15,6.20,7.45,8.92,12.42,070,4894
08,16,46,33.152,20,-7.03,-7.22,-7.16,3.13,069,3338
08,16,47,45.956,20,5.25,7.01,8.26,4.82,073,5769
08,16,50,22.686,21,-7.73,-7.29,-6.63,3.40,072,4097
08,16,51,16.219,22,-5.14,-5.95,-6.74,4.00,072,3513
08,16,51,36.687,28,-1.57,-1.58,-1.53,1.23,076,1997
08,16,52,09.886,22,5.55,6.42,7.08,4.89,079,5616
08,16,52,12.287,19,5.37,5.60,5.76,6.54,076,4716
08,16,52,26.553,19,5.66,6.70,7.75,4.04,074,5311
08,16,52,52.089,21,5.29,5.89,6.67,4.51,076,5702
08,16,53,59.496,21,5.84,6.43,7.29,4.55,073,5476
08,16,54,31.958,40,-3.81,-3.75,-3.54,1.68,067,3731
08,16,54,54.088,11,7.18,7.97,8.25,2.66,074,5035
08,16,54,59.497,20,-7.10,-7.39,-7.38,3.24,071,4108
08,16,55,06.358,14,4.82,5.90,6.32,2.48,075,5724
08,16,55,17.889,22,-6.53,-7.10,-7.30,2.01,072,5263
08,16,55,33.090,20,4.47,6.06,7.24,4.55,076,5817
