day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
08,16,29,19.348,25,-5.29,-5.96,-6.05,4.89,069,6581
08,16,31,32.746,23,4.58,5.43,5.90,3.53,073,4683
08,16,31,36.550,8,4.50,3.06,2.34,10.58,065,3836
08,16,31,37.350,15,6.00,6.06,5.76,3.28,073,4805
08,16,31,40.351,18,-1.67,-1.22,-0.83,3.83,073,2801
08,16,31,40.746,8,2.44,2.00,1.78,7.83,071,3092
08,16,31,42.080,36,-1.69,-1.63,-1.55,1.40,074,3297
08,16,31,44.082,22,-1.54,-1.57,-1.58,1.53,069,2251
08,16,35,55.548,28,-1.17,-1.24,-1.26,1.10,071,1779
08,16,35,56.484,16,-0.94,-1.34,-1.59,1.22,072,1656
08,16,37,20.282,26,-5.06,-5.40,-5.32,3.15,066,3385
08,16,37,30.283,11,9.00,6.10,3.95,9.59,069,4549
08,16,37,30.484,10,6.60,6.80,6.75,3.44,069,4816
08,16,38,33.356,32,2.05,2.05,1.90,1.74,096,4100
